league_id,league_name,league_type,country,country_code,seasons,num_seasons,season_category,total_seasons_country,season_share,total_seasons_type,season_share_type
179,Premiership,League,Scotland,GB-SCT,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,High,32,0.5,1213,0.013190436933223413
180,Championship,League,Scotland,GB-SCT,"[2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",16,High,32,0.5,1213,0.013190436933223413
1,World Cup,Cup,World,None,"[2010, 2014, 2018, 2022]",4,Medium,28,0.14285714285714285,199,0.020100502512562814
803,Asian Games,Cup,World,None,"[2010, 2014, 2018, 2022]",4,Medium,28,0.14285714285714285,199,0.020100502512562814
804,Caribbean Cup,Cup,World,None,"[2010, 2012, 2014, 2016]",4,Medium,28,0.14285714285714285,199,0.020100502512562814
305,Stars League,League,Qatar,QA,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,15,1,1213,0.012366035
40,Championship,League,England,GB-ENG,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,136,0.11029411764705882,1213,0.012366035
46,EFL Trophy,Cup,England,GB-ENG,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,136,0.11029411764705882,199,0.075376884
45,FA Cup,Cup,England,GB-ENG,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,136,0.11029411764705882,199,0.075376884
47,FA Trophy,Cup,England,GB-ENG,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,136,0.11029411764705882,199,0.075376884
48,League Cup,Cup,England,GB-ENG,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,136,0.11029411764705882,199,0.075376884
43,National League,League,England,GB-ENG,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,136,0.11029411764705882,1213,0.012366035
41,League One,League,England,GB-ENG,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,136,0.11029411764705882,1213,0.012366035
42,League Two,League,England,GB-ENG,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,136,0.11029411764705882,1213,0.012366035
568,Eerste Divisie,League,Suriname,SR,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2021, 2022, 2023, 2024, 2025]",14,High,14,1,1213,0.011541632316570486
571,Vysshaya Liga,League,Tajikistan,TJ,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025]",15,High,15,1,1213,0.012366035
586,West Bank Premier League,League,Palestine,PS,"[2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023]",13,High,13,1,1213,0.010717230008244023
